SP Att.        SP Att.F       Ref. Att.      Ref. Att.F     CC Att.        CC Att.f       Mins           Gas            IdleSCVs       #Depots        CCs            Supply         Score          
46             26             40             11             39             38             100            832            0              0              1              27/95          3182           
31             13             39             15             47             44             565            960            2              0              1              28/55          3175           
43             29             39             27             45             45             30             1136           0              0              1              28/79          3216           
32             19             48             27             48             48             60             716            1              0              1              28/79          2976           
39             20             33             11             38             34             455            816            1              0              1              30/79          3671           
27             15             39             18             43             39             570            640            0              0              1              23/87          2905           
50             30             37             13             43             43             220            1136           0              0              1              30/71          3456           
37             10             42             11             48             47             415            924            0              0              1              31/111         3734           
37             22             35             21             43             43             365            1116           1              0              1              29/71          3331           
39             18             30             9              38             32             265            724            0              0              1              21/103         2789           
38             24             40             15             41             41             120            1064           0              0              1              23/71          2884           
41             21             38             15             40             38             265            824            1              0              1              28/79          3339           
40             21             39             14             45             45             175            1104           2              0              1              27/55          2979           
33             19             47             18             35             35             170            1048           0              0              1              26/55          2668           
48             25             45             20             31             31             55             952            1              0              1              25/79          2957           
43             25             53             24             29             29             175            1012           0              0              1              25/63          2787           
42             19             43             20             39             32             865            476            1              0              1              33/95          3641           
42             24             49             20             41             41             125            768            0              0              1              28/95          3243           
37             20             32             12             36             36             140            1120           0              0              1              33/87          3610           
39             17             50             17             35             35             170            1020           0              0              1              25/71          3040           
32             22             42             17             45             44             250            1188           0              0              1              29/55          3288           
37             19             44             18             35             35             90             896            0              0              1              23/87          2836           
38             23             43             20             37             37             180            632            1              0              1              26/63          2712           
39             19             47             22             45             41             610            1064           0              0              1              32/63          3624           
33             20             46             26             28             21             760            412            1              0              1              29/55          3072           
38             15             37             11             42             35             410            720            1              0              1              28/87          3230           
28             10             47             13             34             31             510            588            0              0              1              25/87          3048           
35             24             37             23             45             42             240            1016           0              0              1              26/71          3206           
37             21             51             25             32             32             110            808            0              0              1              28/87          3068           
44             24             35             11             43             43             85             1104           0              0              1              28/63          3289           
40             12             50             18             31             31             330            656            0              0              1              27/87          3036           
39             22             45             22             35             35             80             756            1              0              1              26/87          2986           
36             25             41             24             44             44             300            1084           1              0              1              27/71          3184           
34             10             45             17             51             49             580            580            1              0              1              33/103         3705           
44             23             36             19             38             37             265            928            0              0              1              28/79          3243           
54             25             32             6              44             44             460            768            0              0              1              27/79          3128           
37             18             27             10             41             41             280            800            0              0              1              29/55          2880           
45             29             38             14             36             36             80             1336           0              0              1              27/55          3316           
32             18             34             13             32             32             280            892            1              0              1              25/47          2572           
44             23             40             20             43             40             460            636            2              0              1              29/79          3246           
39             24             41             20             42             42             430            844            0              0              1              28/63          3224           
43             32             45             23             34             34             125            1104           0              0              1              24/63          2775           
37             22             44             23             43             43             245            1024           2              0              1              30/71          3319           
38             20             39             12             39             39             410            812            2              0              1              26/63          2972           
36             12             55             25             36             35             385            708            0              0              1              28/63          3143           
25             7              48             15             34             33             680            812            1              0              1              32/79          3842           
44             24             54             17             31             31             255            788            1              0              1              26/71          2843           
32             14             34             13             44             44             250            996            0              0              1              27/63          3146           
30             12             41             13             48             48             360            924            0              0              1              25/79          3134           
47             21             43             16             39             38             500            644            1              0              1              30/95          3394           
39             17             37             13             29             29             320            904            0              0              1              29/79          3224           
36             22             44             27             25             25             100            1200           1              0              1              29/71          3350           
35             20             49             23             37             34             450            984            1              0              1              30/63          3484           
40             33             30             13             32             31             80             1320           0              0              1              28/63          3200           
39             12             48             10             39             31             685            704            0              0              1              28/87          3589           
46             19             41             13             34             34             280            912            1              0              1              31/111         3792           
31             11             45             14             48             28             375            544            0              0              1              21/79          2719           
38             20             36             20             35             35             175            972            3              0              1              31/95          3497           
43             21             37             14             37             34             610            620            1              0              1              28/63          3230           
45             32             36             20             44             43             220            1228           0              0              1              29/71          3298           
34             15             40             15             50             43             665            1004           0              0              1              25/79          3419           
43             19             34             17             44             44             80             776            1              0              1              29/87          3356           
25             13             42             18             40             39             345            1128           0              0              1              31/63          3473           
38             20             45             21             38             38             75             1124           1              0              1              30/71          3499           
44             21             32             17             47             36             760            372            0              0              1              30/95          3432           
38             19             46             18             43             43             345            844            1              0              1              27/87          3084           
46             21             34             13             38             38             115            860            0              0              1              28/87          3175           
43             31             37             22             38             38             95             1204           0              0              1              27/47          3049           
37             18             34             20             43             43             110            716            1              0              1              30/103         3226           
37             19             39             13             42             42             345            720            1              0              1              30/87          3315           
42             27             48             23             30             30             100            1092           1              0              1              28/71          3142           
35             18             39             13             45             36             870            644            0              0              1              31/63          3614           
23             14             45             16             30             24             620            788            1              0              1              25/47          2808           
38             17             40             20             44             41             310            868            3              0              1              29/79          3328           
32             14             51             23             33             32             330            812            0              0              1              30/79          3342           
37             18             42             15             38             38             355            664            1              0              1              30/95          3369           
40             11             36             13             29             25             460            972            1              0              1              29/63          3432           
31             17             43             19             42             42             185            884            0              0              1              27/71          3015           
36             21             41             17             44             44             410            504            0              0              1              30/79          2964           
42             16             42             10             42             40             485            540            0              0              1              28/103         3425           
37             25             33             17             48             48             260            1096           1              0              1              29/63          3301           
41             27             46             29             48             48             115            892            4              0              1              23/71          2657           
39             17             38             13             52             52             145            1008           1              0              1              31/95          3399           
39             11             26             8              43             30             1280           572            0              0              1              34/79          4202           
36             23             39             26             34             34             270            956            0              0              1              30/55          3126           
33             12             52             27             33             33             325            568            0              0              1              32/103         3438           
30             20             40             20             38             38             30             1340           1              0              1              29/55          3170           
30             20             32             13             47             45             680            896            0              0              1              31/71          3676           
39             20             36             16             35             35             75             1072           1              0              1              30/71          3397           
31             20             41             22             38             38             120            1340           1              0              1              28/55          3160           
36             22             36             16             34             34             215            1212           0              0              1              29/63          3327           
31             15             52             23             40             40             75             1084           1              0              1              27/79          3109           
38             24             29             17             39             39             150            932            1              0              1              30/79          3282           
39             13             44             15             29             28             315            872            3              0              1              31/95          3587           
38             25             38             16             34             34             210            1104           0              0              1              24/55          2914           
32             20             38             15             41             41             250            960            0              0              1              27/71          3010           
36             21             33             18             43             43             305            892            1              0              1              27/87          3142           
38             24             46             28             41             41             235            860            0              0              1              30/55          2795           
31             16             48             17             48             45             435            1268           1              0              1              32/55          3698           
35             20             49             23             39             39             210            848            0              0              1              25/79          2958           
