SP Att.        SP Att.F       #Depots        Ref. Att.      Ref. Att.F     #Refineries    CC Att.        CC Att.f       Mins           Gas            IdleSCVs       CCs            Supply         Score          
18             0              12             0              0              0              32             31             1635           0              1              2              36/126         4585           
34             0              12             0              0              0              31             30             1685           0              1              2              36/126         4635           
23             0              12             0              0              0              31             30             1845           0              0              2              36/126         4795           
23             0              12             0              0              0              29             28             1755           0              0              2              37/126         4755           
29             0              12             0              0              0              27             26             1725           0              0              2              36/126         4670           
25             0              12             0              0              0              32             31             1550           0              0              2              34/126         4395           
26             0              12             0              0              0              31             30             1460           0              0              2              34/126         4310           
25             0              12             0              0              0              26             25             1580           0              0              2              33/126         4380           
26             0              12             0              0              0              24             23             1810           0              0              2              36/126         4755           
24             0              12             0              0              0              25             24             1680           0              0              2              34/126         4530           
27             0              12             0              0              0              24             23             1765           0              0              2              36/126         4715           
23             0              12             0              0              0              29             28             1710           0              0              2              35/126         4610           
24             0              12             0              0              0              28             27             1660           0              0              2              37/126         4660           
28             0              12             0              0              0              26             25             1780           0              0              2              38/126         4830           
35             0              12             0              0              0              22             21             1410           0              0              2              34/126         4310           
25             0              12             0              0              0              28             27             1870           0              0              2              36/126         4820           
27             0              12             0              0              0              23             22             1820           0              0              2              36/126         4715           
23             0              12             0              0              0              35             34             1635           0              0              2              35/126         4535           
24             0              12             0              0              0              24             23             1415           0              0              2              34/126         4265           
24             0              12             0              0              0              26             25             1595           0              0              2              35/126         4495           
16             0              12             0              0              0              25             24             1575           0              0              2              33/126         4375           
27             0              12             0              0              0              25             24             1510           0              0              2              37/126         4510           
21             0              11             0              0              0              18             17             2385           0              0              2              34/118         4935           
17             0              12             0              0              0              19             18             1635           0              0              2              32/126         4385           
18             0              12             0              0              0              19             18             1775           0              0              2              32/118         4525           
22             0              12             0              0              0              14             13             1900           0              0              2              36/126         4845           
15             0              12             0              0              0              14             13             1310           0              0              2              25/118         3710           
26             0              11             0              0              0              11             10             2395           0              0              2              39/118         5190           
16             0              12             0              0              0              9              8              1595           0              0              2              31/126         4285           
24             0              12             0              0              0              7              6              1410           0              0              2              33/126         4210           
15             0              12             0              0              0              10             9              1150           0              0              2              28/126         3695           
20             0              12             0              0              0              12             11             1600           0              0              2              34/126         4445           
15             0              12             0              0              0              12             11             1385           0              0              2              28/126         3935           
19             0              12             0              0              0              11             10             1285           0              0              2              27/126         3785           
19             0              12             0              0              0              9              8              1775           0              0              2              34/126         4625           
21             0              12             0              0              0              9              8              1180           0              0              2              28/126         3730           
17             0              12             0              0              0              11             10             1525           0              0              2              33/126         4315           
16             0              12             0              0              0              9              8              1625           0              0              2              34/126         4475           
14             0              12             0              0              0              9              8              1460           0              0              2              33/126         4260           
16             0              12             0              0              0              14             13             1715           0              0              2              38/126         4765           
17             0              12             0              0              0              4              3              1620           0              1              2              34/126         4415           
18             0              12             0              0              0              4              3              1500           0              0              2              32/126         4245           
15             0              12             0              0              0              11             10             1930           0              0              2              35/118         4830           
15             0              12             0              0              0              4              3              1615           0              0              2              33/126         4365           
14             0              11             0              0              0              4              3              1655           0              0              2              33/118         4155           
13             0              12             0              0              0              4              3              1875           0              0              2              34/118         4725           
15             0              12             0              0              0              3              2              1335           0              0              2              33/126         4135           
12             0              12             0              0              0              4              3              1660           0              0              2              34/126         4510           
14             0              12             0              0              0              7              6              1855           0              1              2              37/126         4800           
12             0              12             0              0              0              9              8              1860           0              0              2              36/126         4810           
15             0              12             0              0              0              5              4              1820           0              1              2              37/126         4770           
17             0              12             0              0              0              4              3              2125           0              0              2              39/126         5225           
