SP Att.        SP Att.F       #Depots        Ref. Att.      Ref. Att.F     #Refineries    CC Att.        CC Att.f       Mins           Gas            IdleSCVs       CCs            Supply         Score          
27             0              12             0              0              0              24             23             1505           0              1              2              38/126         4705           
28             0              12             0              0              0              27             26             1560           0              0              2              35/126         4460           
24             0              12             0              0              0              36             35             1715           0              0              2              36/126         4615           
21             0              12             0              0              0              32             31             1680           0              1              2              35/126         4580           
38             0              12             0              0              0              32             31             1455           0              1              2              35/126         4305           
26             0              12             0              0              0              26             25             1755           0              0              2              35/126         4655           
25             0              12             0              0              0              27             26             1660           0              0              2              36/126         4610           
24             0              12             0              0              0              26             25             1795           0              0              2              36/126         4745           
30             0              12             0              0              0              31             30             1745           0              0              2              36/126         4690           
26             0              12             0              0              0              27             26             1680           0              0              2              37/126         4675           
22             0              12             0              0              0              30             29             1560           0              0              2              35/126         4460           
21             0              12             0              0              0              17             16             1700           0              0              2              36/126         4650           
15             0              12             0              0              0              33             32             1780           0              0              2              35/126         4680           
23             0              12             0              0              0              16             15             1770           0              0              2              36/126         4720           
24             0              12             0              0              0              28             27             1520           0              1              2              35/126         4420           
20             0              12             0              0              0              28             27             1780           0              0              2              36/126         4725           
29             0              12             0              0              0              18             17             1805           0              0              2              36/126         4750           
25             0              12             0              0              0              24             23             1800           0              0              2              35/126         4695           
23             0              12             0              0              0              23             22             1625           0              0              2              34/126         4470           
24             0              12             0              0              0              24             23             1740           0              0              2              35/126         4640           
24             0              12             0              0              0              18             17             1555           0              0              2              33/126         4355           
16             0              12             0              0              0              16             15             1555           0              1              2              31/126         4205           
16             0              12             0              0              0              24             23             1600           0              0              2              32/126         4350           
18             0              12             0              0              0              14             13             1260           0              0              2              29/126         3860           
16             0              12             0              0              0              7              6              935            0              0              2              25/126         3330           
18             0              12             0              0              0              22             21             1590           0              0              2              33/126         4385           
19             0              12             0              0              0              14             13             1165           0              1              2              27/126         3615           
20             0              12             0              0              0              14             13             1150           0              0              2              26/126         3600           
21             0              12             0              0              0              13             12             1160           0              0              2              30/126         3810           
15             0              12             0              0              0              15             14             1575           0              0              2              30/126         4225           
18             0              12             0              0              0              6              5              1110           0              0              2              28/126         3660           
15             0              12             0              0              0              12             11             1200           0              0              2              28/126         3750           
19             0              12             0              0              0              8              7              1225           0              0              2              28/126         3775           
18             0              12             0              0              0              7              6              1220           0              0              2              29/126         3820           
17             0              12             0              0              0              10             9              1455           0              0              2              29/126         4050           
15             0              12             0              0              0              10             9              955            0              0              2              25/126         3355           
15             0              12             0              0              0              4              3              1345           0              1              2              31/126         4040           
23             0              12             0              0              0              7              6              770            0              0              2              24/111         3120           
15             0              12             0              0              0              13             12             1405           0              0              2              29/126         4005           
13             0              12             0              0              0              9              8              1110           0              0              2              26/126         3555           
13             0              12             0              0              0              7              6              1380           0              0              2              30/126         4030           
14             0              12             0              0              0              8              7              1170           0              0              2              28/126         3720           
17             0              12             0              0              0              8              7              1395           0              0              2              29/126         3995           
13             0              12             0              0              0              4              3              1360           0              1              2              30/126         3960           
17             0              12             0              0              0              2              1              1165           0              0              2              27/126         3660           
15             0              12             0              0              0              3              2              1285           0              0              2              31/126         3980           
13             0              12             0              0              0              9              8              1070           0              0              2              26/126         3520           
14             0              12             0              0              0              5              4              1405           0              0              2              29/126         3950           
13             0              12             0              0              0              9              8              1190           0              0              2              28/126         3740           
15             0              12             0              0              0              5              4              1135           0              0              2              27/126         3630           
15             0              12             0              0              0              7              6              1145           0              0              2              27/126         3645           
13             0              12             0              0              0              6              5              1360           0              1              2              31/126         4060           
15             0              12             0              0              0              2              1              1000           0              0              2              27/126         3490           
16             0              12             0              0              0              4              3              1180           0              0              2              27/126         3680           
16             0              12             0              0              0              8              7              1615           0              0              2              31/126         4315           
13             0              12             0              0              0              3              2              1170           0              0              2              28/126         3720           
12             0              12             0              0              0              2              1              1135           0              0              2              27/126         3635           
13             0              12             0              0              0              5              4              1300           0              0              2              28/126         3850           
12             0              12             0              0              0              4              3              1200           0              0              2              28/126         3750           
12             0              12             0              0              0              2              1              995            0              0              2              26/126         3440           
14             0              12             0              0              0              7              6              1235           0              0              2              29/126         3830           
12             0              12             0              0              0              4              3              1545           0              0              2              30/126         4195           
13             0              12             0              0              0              4              3              1230           0              0              2              27/126         3730           
13             0              12             0              0              0              4              3              1270           0              1              2              29/126         3820           
15             0              12             0              0              0              5              4              1205           0              1              2              29/126         3755           
14             0              12             0              0              0              9              8              985            0              0              2              27/126         3485           
